,Date,prix moyen au kg,"Production quantité 
tonne(s)",Température minimale en °C,Température maximale en °C,précipitations en mm,Ensoleillement en min,Rafales (vitesse du vent) en km/h
0,21/09/20,1.05,0.2,13.3,27.4,0.0,663,36.0
1,16/10/20,1.1,0.25,7.2,12.2,0.0,0,36.0
2,18/09/20,1.05,0.2,14.1,29.7,0.4,588,43.2
3,24/08/20,1.2,0.12,11.8,24.5,0.2,545,36.0
4,19/08/20,1.1,0.08,16.4,26.0,0.6,90,54.4
5,03/08/20,1.4,0.2,12.0,23.9,0.4,444,51.5
6,06/07/20,1.9,0.16,8.9,25.2,0.0,704,50.4
7,27/09/19,1.5,0.2,13.9,20.4,0.4,231,54.4
8,05/08/19,1.55,0.35,15.3,28.1,0.0,551,50.8
9,26/07/19,1.75,0.15,19.9,28.9,13.1,276,40.7
10,15/07/19,1.6,0.26,10.4,25.1,0.0,776,43.2
11,14/09/17,1.1,0.4,10.9,17.0,1.6,402,55.1
12,12/06/17,1.2,0.28,11.7,23.1,0.0,842,28.8
13,07/09/16,1.3,0.57,12.3,27.9,0.0,738,32.0
14,17/08/16,1.35,0.24,13.5,32.7,19.4,756,33.5
15,30/06/15,1.35,0.2,12.9,34.8,0.0,906,35.2
16,02/10/12,1.1,0.2,12.8,18.8,0.2,121,38.9
17,30/07/12,1.3,1.8,12.2,18.0,2.4,1,20.9
18,26/07/12,1.3,1.0,15.9,32.6,0.0,776,31.5
19,02/10/20,1.6,0.1,11.0,13.6,4.2,0,54.4
20,04/09/20,1.75,0.2,12.0,21.3,0.0,693,28.8
21,31/07/17,1.25,0.68,12.5,23.6,0.0,132,21.6
22,02/10/20,1.05,0.1,11.0,13.6,4.2,0,54.4
23,08/09/20,1.1,0.4,9.7,26.0,0.0,311,18.0
24,31/08/20,1.1,0.4,10.0,21.0,0.2,468,28.8
25,10/07/20,1.8,0.21,15.1,23.2,0.0,342,40.0
26,06/08/19,1.55,0.14,17.0,26.1,0.6,98,48.2
27,18/09/18,1.5,0.05,16.4,24.6,0.0,113,39.6
28,19/09/17,1.2,0.1,7.7,16.7,0.0,206,32.8
29,18/09/17,1.1,0.48,4.0,17.6,5.6,409,50.4
30,28/08/17,1.25,0.96,16.8,31.7,0.0,668,36.0
31,09/08/17,1.5,0.52,11.9,17.7,9.8,234,55.4
32,24/07/17,1.5,0.49,11.7,20.0,0.0,84,46.8
33,17/07/17,1.25,0.36,15.7,31.6,0.0,724,32.4
34,04/07/17,1.25,0.136,11.9,29.5,0.0,878,21.6
35,06/10/16,1.0,0.2,3.7,15.4,0.0,619,55.8
36,05/08/16,1.0,0.32,10.8,23.7,0.0,510,37.0
37,03/08/16,0.9,0.96,16.4,28.6,0.0,342,50.0
38,07/09/15,0.8,0.384,6.2,20.5,0.0,534,37.1
39,01/09/14,0.8,0.13,7.8,23.1,0.0,576,24.1
40,16/09/13,0.7,0.6,11.1,17.1,1.0,233,54.0
41,05/09/13,0.65,2.24,15.4,31.6,0.0,714,26.6
42,27/08/13,0.75,0.16,12.8,23.7,12.5,210,48.7
43,18/10/12,1.0,0.53,12.7,20.2,2.8,18,31.5
44,01/10/12,1.1,0.2,3.5,19.1,0.8,536,40.7
45,01/08/12,1.3,0.2,11.8,28.0,0.4,445,44.4
46,08/09/20,1.6,0.4,9.7,26.0,0.0,311,18.0
47,17/07/13,1.25,1.7,13.4,30.5,0.0,644,31.3
48,09/09/20,1.05,0.35,17.5,28.9,0.0,360,36.4
49,15/07/20,1.8,0.1,15.1,22.7,0.0,99,40.7
50,20/09/19,1.75,0.2,5.7,24.0,0.0,693,44.3
51,26/08/19,1.6,0.5,14.3,33.0,0.0,744,25.2
52,04/07/19,1.85,0.05,12.8,29.1,0.0,900,39.6
53,19/10/18,1.5,0.15,8.6,20.7,0.0,549,36.0
54,08/10/18,1.5,0.05,5.2,19.7,0.0,627,36.0
55,05/10/18,1.5,0.05,5.4,26.8,0.0,641,28.8
56,04/10/18,1.5,0.05,5.4,22.1,0.0,644,32.8
57,28/09/18,1.5,0.05,8.2,23.0,0.0,576,54.0
58,26/06/18,1.5,0.05,11.8,28.0,0.0,906,48.2
59,13/10/17,1.15,0.24,11.6,22.4,0.0,551,14.4
60,06/10/17,1.15,0.3,5.5,16.2,0.0,416,39.6
61,07/07/17,1.25,0.51,18.2,33.4,0.0,733,29.9
62,27/09/16,1.0,0.12,10.2,23.8,0.0,528,26.6
63,08/09/16,1.3,0.6,13.3,25.6,0.0,600,43.2
64,04/08/16,1.0,0.32,16.6,21.1,1.8,126,29.9
65,06/07/16,1.3,0.768,8.9,25.2,0.0,840,25.9
66,25/08/15,0.85,0.416,10.2,22.2,0.0,242,57.4
67,20/08/15,0.8,1.408,15.4,26.6,0.0,294,24.8
68,16/07/15,1.0,0.5,15.9,36.9,0.0,696,41.4
