Date,prix moyen au kg,"Production quantité 
tonne(s)",Température minimale en °C,Température maximale en °C,précipitations en mm,Ensoleillement en min,Rafales (vitesse du vent) en km/h
01/07/21,2,0.05,9.2,24.2,0,293,25.2
30/06/21,2,0.08,13,18.6,0.4,144,36
29/06/21,1.75,0.1,11.5,18.7,14.7,183,32.8
28/06/21,1.5,0.165,15,23,1.6,299,48.2
25/06/21,1.5,0.2,8.7,22.2,1.4,316,36
24/06/21,1.5,0.1,11.8,21.9,0,612,39.6
23/06/21,1.5,0.1,13,17.1,0,57,32.4
21/06/21,1.5,0.2,15.7,24.9,3.8,423,61.2
04/12/20,1.5,0.1,2.9,6.6,0.8,256,65.9
06/11/20,1.1,0.1,2.3,13.4,0,491,46.8
05/11/20,1.1,0.1,1.8,11.5,0,533,32.4
30/10/20,1.05,0.1,12.6,15.9,0,0,40.7
16/10/20,1.1,0.25,7.2,12.2,0,0,36
09/10/20,1.05,0.2,10.9,15.7,0.2,24,37.4
05/10/20,1.05,0.25,10.5,13.5,4.2,0,57.6
02/10/20,1.05,0.1,11,13.6,4.2,0,54.4
01/10/20,1.05,0.1,12.8,16.6,11.1,107,51.5
28/09/20,1,0.05,11.7,18.1,0.4,145,40.7
25/09/20,1.1,0.1,8.1,14.9,2.8,283,84.2
24/09/20,1.1,0.1,9.8,18.2,8.1,200,68.4
22/09/20,1.05,0.1,6.9,25.4,0,594,39.6
21/09/20,1.05,0.2,13.3,27.4,0,663,36
18/09/20,1.05,0.2,14.1,29.7,0.4,588,43.2
16/09/20,1,0.32,15.1,30.8,0,444,40
15/09/20,1.05,0.1,18.7,33.1,0,698,32.4
14/09/20,1.1,0.2,11.5,34.5,0,711,43.2
11/09/20,1.05,0.5,14.1,28.2,0,552,29.5
09/09/20,1.05,0.35,17.5,28.9,0,360,36.4
08/09/20,1.1,0.4,9.7,26,0,311,18
07/09/20,1.1,0.15,7,23,0,657,32.4
04/09/20,1.1,0.8,12,30.3,0,693,28.8
03/09/20,0.95,0.5,11.1,27.7,0,720,51.5
01/09/20,1.1,0.05,8.2,21.3,0,594,36
31/08/20,1.1,0.4,10,21,0.2,468,28.8
28/08/20,1.45,0.2,13.4,23.2,0.2,324,64.8
27/08/20,1.45,0.11,10.8,26.5,0,306,58.7
25/08/20,1.6,0.09,14.6,29.1,0,366,68.4
24/08/20,1.2,0.12,11.8,24.5,0.2,545,36
21/08/20,1.5,0.1,19.3,28.1,0,456,61.2
19/08/20,1.1,0.08,16.4,26,0.6,90,54.4
18/08/20,1.4,0.15,17.7,27,0,328,50.4
17/08/20,1.5,0.1,15.5,24.8,0.6,276,54
14/08/20,1.35,0.25,17.4,24.2,4.2,216,39.6
11/08/20,1.4,0.2,19,34.4,0,359,61.6
10/08/20,1.4,0.25,17.8,35.5,0,677,25.2
07/08/20,1.5,0.35,15.2,37.2,0,822,30.2
06/08/20,1.5,0.2,12.6,34.8,0,822,25.9
03/08/20,1.4,0.2,12,23.9,0.4,444,51.5
31/07/20,1.5,0.26,16.9,36.8,0.2,515,69.5
28/07/20,1.5,0.08,16.7,25.9,0,762,46.8
27/07/20,1.3,0.15,13.8,32.1,0.2,860,62.6
